Conditions,flow_rate,precipitation,depth1,depth2,depth3,depth4
a,166.0056278,0.13491844,2.942,0.769,0.003,0.004
a,168.4111266,0.133286362,2.945,0.793,0.003,0.004
a,170.8742061,0.131382272,2.947,0.807,0.003,0.004
a,173.3960767,0.129750194,2.95,0.832,0.003,0.004
a,175.9747986,0.128118116,2.952,0.852,0.003,0.004
a,178.6092768,0.126486038,2.954,0.868,0.003,0.004
a,181.2982575,0.12485396,2.955,0.899,0.003,0.004
a,184.0393247,0.123493895,2.957,0.91,0.003,0.004
a,186.8328964,0.121861817,2.959,0.945,0.003,0.004
a,189.6762227,0.120501752,2.96,0.952,0.003,0.004
a,192.5663826,0.119141687,2.961,0.986,0.003,0.004
a,195.5032831,0.117781622,2.962,0.98,0.003,0.004
a,198.4836575,0.116421557,2.963,1.034,0.003,0.004
a,201.5040649,0.115061492,2.963,1.026,0.003,0.004
a,204.5638902,0.113973441,2.964,1.064,0.003,0.004
a,207.6593446,0.112613376,2.964,1.08,0.003,0.004
a,210.786467,0.111525324,2.964,1.047,0.003,0.004
a,213.9441257,0.110165259,2.964,1.18,0.003,0.004
a,217.1280213,0.109077207,2.963,1.172,0.009,0.004
a,220.3346898,0.107989155,2.963,1.135,0.04,0.004
a,223.5605067,0.106901103,2.962,1.146,0.068,0.003
a,226.8006917,0.105813051,2.961,1.183,0.092,0.003
a,230.0533143,0.104997012,2.96,1.206,0.111,0.003
a,233.3133,0.10390896,2.959,1.222,0.127,0.003
a,236.5764373,0.102820908,2.958,1.236,0.141,0.003
a,239.838385,0.102004869,2.956,1.13,0.153,0.003
a,243.0946815,0.100916817,2.955,1.368,0.164,0.003
a,246.3407526,0.100100778,2.953,1.367,0.174,0.003
a,244.7162852,0.099012726,2.951,1.272,0.184,0.003
a,246.3377526,0.098196687,2.949,1.257,0.194,0.003
a,247.9544962,0,2.947,1.291,0.203,0.003
a,249.5669227,0,2.946,1.3,0.211,0.003
a,251.1744331,0,2.944,1.315,0.218,0.003
a,252.7774239,0,2.943,1.317,0.225,0.003
a,254.3732865,0,2.941,1.324,0.231,0.003
a,255.9624081,0,2.939,1.324,0.238,0.003
a,257.5451721,0,2.938,1.329,0.244,0.003
a,259.1189581,0,2.936,1.167,0.25,0.003
a,260.6851428,0,2.935,1.394,0.256,0.003
a,262.2411,0,2.933,1.447,0.26,0.003
a,263.7882012,0,2.932,1.385,0.265,0.003
a,265.3238158,0,2.93,1.352,0.271,0.003
a,266.8493121,0,2.929,1.367,0.276,0.003
a,268.3620568,0,2.927,1.389,0.281,0.003
a,269.8634165,0,2.926,1.394,0.286,0.003
a,271.3517573,0,2.924,1.342,0.29,0.003
a,272.8254454,0,2.922,1.318,0.294,0.003
a,274.2858481,0,2.921,1.454,0.299,0.003
a,275.7313336,0,2.919,1.496,0.303,0.003
a,277.1612717,0,2.918,1.424,0.307,0.003
a,278.5750345,0,2.916,1.415,0.311,0.003
a,279.9719964,0,2.915,1.427,0.315,0.003
a,281.3505349,0,2.913,1.432,0.319,0.003
a,282.7120309,0,2.911,1.442,0.323,0.003
a,284.0548696,0,2.91,1.321,0.327,0.003
a,285.3784401,0,2.908,1.435,0.331,0.003
a,286.6821368,0,2.907,1.573,0.334,0.003
a,287.9653593,0,2.905,1.511,0.339,0.003
a,289.2275131,0,2.904,1.458,0.342,0.003
a,290.4680099,0,2.902,1.469,0.346,0.003
a,291.6872683,0,2.9,1.478,0.35,0.003
a,292.8827142,0,2.899,1.491,0.353,0.003
a,294.0547809,0,2.897,1.335,0.356,0.003
a,295.2029101,0,2.896,1.588,0.36,0.003
a,296.3265523,0,2.894,1.488,0.364,0.003
a,297.4251666,0,2.893,1.494,0.367,0.003
a,298.498222,0,2.891,1.355,0.369,0.003
a,299.5461973,0,2.89,1.613,0.373,0.003
a,300.5665818,0,2.889,1.503,0.376,0.003
a,301.5598754,0,2.887,1.512,0.379,0.003
a,302.5265896,0,2.886,1.317,0.382,0.003
a,303.4642471,0,2.884,1.636,0.385,0.003
a,304.3733831,0,2.883,1.516,0.388,0.003
a,305.253545,0,2.882,1.53,0.391,0.003
a,306.105293,0,2.88,1.299,0.393,0.003
a,306.9262008,0,2.879,1.673,0.397,0.003
a,307.7178554,0,2.878,1.522,0.4,0.003
a,308.4778579,0,2.877,1.548,0.402,0.003
a,309.2068237,0,2.875,1.204,0.404,0.003
a,309.9053827,0,2.874,1.697,0.407,0.003
a,310.57118,0,2.873,1.532,0.41,0.003
a,311.2058756,0,2.872,1.554,0.412,0.003
a,311.8071454,0,2.871,1.226,0.414,0.003
a,312.376681,0,2.87,1.701,0.416,0.003
a,312.9121901,0,2.869,1.537,0.419,0.003
a,313.4153969,0,2.868,1.565,0.42,0.003
a,313.8840422,0,2.867,1.411,0.421,0.003
a,314.3198834,0,2.866,1.683,0.423,0.003
a,314.7206954,0,2.865,1.596,0.427,0.003
a,315.08827,0,2.864,1.56,0.427,0.003
a,315.4204167,0,2.864,1.574,0.427,0.003
a,315.7189626,0,2.863,1.545,0.429,0.003
a,315.9817524,0,2.862,1.616,0.432,0.003
a,316.2106488,0,2.861,1.563,0.434,0.003
a,316.4035328,0,2.861,1.577,0.433,0.002
a,316.5623033,0,2.86,1.755,0.437,0.002
a,316.6858774,0,2.86,1.604,0.439,0.002
a,316.7731908,0,2.859,1.562,0.44,0.002
a,316.8261973,0,2.859,1.576,0.438,0.002
a,316.8428692,0,2.858,1.756,0.442,0.002
a,316.8251973,0,2.858,1.602,0.444,0.002
a,316.7721908,0,2.858,1.561,0.444,0.002
a,316.6828774,0,2.857,1.577,0.442,0.002
a,316.5593033,0,2.857,1.758,0.446,0.002
a,316.4005328,0,2.857,1.599,0.447,0.002
a,316.2056488,0,2.857,1.558,0.447,0.002
a,315.9767524,0,2.857,1.575,0.445,0.002
a,315.7129626,0,2.856,1.757,0.449,0.003
a,315.4134167,0,2.856,1.594,0.45,0.018
a,315.08027,0,2.856,1.554,0.449,0.039
a,314.7126954,0,2.856,1.569,0.447,0.049
a,314.3108834,0,2.857,1.75,0.45,0.056
a,313.8740422,0,2.857,1.588,0.451,0.063
a,313.4043969,0,2.857,1.548,0.45,0.07
a,312.9011901,0,2.857,1.562,0.448,0.075
a,312.363681,0,2.857,1.741,0.451,0.082
a,311.7941454,0,2.858,1.578,0.452,0.093
a,311.1918756,0,2.858,1.541,0.451,0.108
a,310.55718,0,2.859,1.553,0.448,0.121
a,309.8893827,0,2.859,1.728,0.452,0.134
a,309.1908237,0,2.859,1.566,0.452,0.145
a,308.4608579,0,2.86,1.531,0.451,0.155
a,307.6998554,0,2.861,1.542,0.448,0.164
a,306.9082008,0,2.861,1.711,0.451,0.172
a,306.085293,0,2.862,1.553,0.451,0.179
a,305.233545,0,2.863,1.519,0.45,0.185
a,304.3523831,0,2.863,1.528,0.447,0.191
