Conditions,flow_rate,precipitation,depth1,depth2,depth3,depth4
100a.1,85.16904731,0.154503375,2.731,0,0.004,0.004
100a.1,86.24858766,0.152055258,2.737,0,0.004,0.004
100a.1,87.36270418,0.149607142,2.744,0,0.004,0.004
100a.1,88.51158926,0.147431038,2.751,0,0.004,0.004
100a.1,89.69537621,0.144982921,2.759,0,0.004,0.004
100a.1,90.91313587,0.14307883,2.767,0,0.004,0.004
100a.1,92.16587328,0.140902726,2.776,0.047,0.004,0.004
100a.1,93.45452431,0.138998635,2.786,0.125,0.004,0.004
100a.1,94.77695246,0.136822531,2.796,0.207,0.003,0.004
100a.1,96.13394559,0.13491844,2.806,0.287,0.003,0.004
100a.1,97.52521294,0.133286362,2.817,0.361,0.003,0.004
100a.1,98.94938209,0.131382272,2.827,0.429,0.003,0.004
100a.1,100.4079962,0.129750194,2.838,0.491,0.003,0.004
100a.1,101.8995112,0.128118116,2.848,0.546,0.003,0.004
100a.1,103.4232934,0.126486038,2.858,0.596,0.003,0.004
100a.1,104.9786174,0.12485396,2.867,0.64,0.003,0.004
100a.1,106.5636636,0.123493895,2.876,0.682,0.003,0.004
100a.1,108.1795165,0.121861817,2.885,0.721,0.003,0.004
100a.1,109.8241633,0.120501752,2.893,0.756,0.003,0.004
100a.1,111.4954924,0.119141687,2.9,0.789,0.003,0.004
100a.1,113.1942925,0.117781622,2.907,0.819,0.003,0.004
100a.1,114.9182518,0.116421557,2.914,0.847,0.003,0.004
100a.1,116.6649577,0.115061492,2.92,0.873,0.003,0.004
100a.1,118.4348968,0.113973441,2.925,0.901,0.003,0.004
100a.1,120.2254552,0.112613376,2.93,0.917,0.003,0.004
100a.1,122.0339191,0.111525324,2.934,0.932,0.003,0.004
100a.1,123.8604764,0.110165259,2.938,0.962,0.003,0.004
100a.1,125.7022174,0.109077207,2.941,0.972,0.003,0.004
100a.1,127.5571376,0.107989155,2.945,1.008,0.003,0.004
100a.1,129.4231394,0.106901103,2.947,1.014,0.003,0.003
100a.1,131.2970349,0.105813051,2.95,1.047,0.003,0.003
100a.1,133.1785497,0.104997012,2.952,1.04,0.003,0.003
100a.1,135.0643256,0.10390896,2.953,1.093,0.003,0.003
100a.1,136.9519254,0.102820908,2.955,1.085,0.003,0.003
100a.1,138.8388368,0.102004869,2.956,1.12,0.003,0.003
100a.1,140.7224776,0.100916817,2.957,1.134,0.003,0.003
100a.1,142.6002009,0.100100778,2.957,1.101,0.003,0.003
100a.1,141.6592468,0.099012726,2.958,1.206,0.003,0.003
100a.1,142.5972009,0.098196687,2.958,1.182,0.004,0.003
100a.1,143.532,0,2.958,1.142,0.027,0.003
100a.1,144.4643006,0,2.958,1.149,0.058,0.003
100a.1,145.3937563,0,2.958,1.17,0.082,0.003
100a.1,146.3210176,0,2.958,1.187,0.1,0.003
100a.1,147.2437324,0,2.958,1.194,0.115,0.003
100a.1,148.1625461,0,2.957,1.198,0.126,0.003
100a.1,149.0781017,0,2.957,1.167,0.135,0.003
100a.1,149.9880404,0,2.957,1.283,0.143,0.003
100a.1,150.8940013,0,2.956,1.262,0.151,0.003
100a.1,151.7936221,0,2.956,1.213,0.158,0.003
100a.1,152.688539,0,2.955,1.215,0.164,0.003
100a.1,153.5763871,0,2.954,1.216,0.171,0.003
100a.1,154.4588008,0,2.954,1.242,0.177,0.003
100a.1,155.3334137,0,2.953,1.259,0.183,0.003
100a.1,156.2018591,0,2.952,1.265,0.189,0.003
100a.1,157.0627701,0,2.952,1.267,0.194,0.003
100a.1,157.9147802,0,2.951,1.274,0.199,0.003
100a.1,158.7595229,0,2.95,1.277,0.204,0.003
100a.1,159.5956328,0,2.949,1.151,0.209,0.003
100a.1,160.4227451,0,2.948,1.148,0.214,0.003
100a.1,161.2404964,0,2.948,1.401,0.219,0.003
100a.1,162.0485247,0,2.947,1.376,0.223,0.003
100a.1,162.8454698,0,2.946,1.414,0.227,0.003
100a.1,163.6329733,0,2.945,1.389,0.232,0.003
100a.1,164.4096794,0,2.944,1.427,0.236,0.003
100a.1,165.1752347,0,2.943,1.401,0.241,0.003
100a.1,165.9292886,0,2.942,1.44,0.245,0.003
100a.1,166.6714937,0,2.941,1.413,0.249,0.003
